fold,best_epoch,model_kind,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,10,stagewise_v41,0.7124463519313304,0.2768063145112326,0.26436468147783626,0.7017827181881733,0.0,0.6266094420600858,0.2679295689131755,0.2297777777777778,0.6635097758702908,0.0
2,7,stagewise_v41,0.5368956743002544,0.265934675869921,0.2522805527805528,0.5873737458470284,0.06060606060606061,0.5826972010178118,0.31111625038544555,0.26922270677252225,0.6255176520239476,0.09523809523809523
3,8,stagewise_v41,0.7090909090909091,0.2721444133208839,0.22842215256008358,0.7442623729457585,0.0,0.8227272727272728,0.22365390600684715,0.21867048346055978,0.7926982130464955,0.0
4,7,stagewise_v41,0.6016483516483516,0.2983372183372183,0.25344142505977035,0.6374113435811587,0.0,0.6923076923076923,0.2987801087801088,0.3021104326126104,0.6982683783632279,0.0
5,13,stagewise_v41,0.526813880126183,0.27187888640159186,0.2660671376815955,0.5374040536383283,0.07692307692307693,0.5962145110410094,0.28152249227161286,0.27532981172964915,0.5819905624634794,0.0
