fold,best_epoch,model_kind,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,6,stagewise_v41,0.592274678111588,0.3166848816029144,0.2746695333651855,0.6318090640258955,0.0,0.6652360515021459,0.2900425015179114,0.2508325605099799,0.6884149431567402,0.0
2,9,stagewise_v41,0.6005089058524173,0.2852603240114803,0.25257860107854896,0.6291806576406591,0.0,0.6310432569974554,0.2610384496785977,0.23078914178932006,0.6377242781944059,0.0
3,16,stagewise_v41,0.8136363636363636,0.23224400871459694,0.23087855297157622,0.7962737843551796,0.0,0.8227272727272728,0.22365390600684715,0.21913265306122448,0.7946834415584415,0.0
4,8,stagewise_v41,0.6675824175824175,0.3023232323232324,0.27271323127392016,0.6793703323740229,0.0,0.6126373626373627,0.2898601398601398,0.2532090622937226,0.6495530365798602,0.0
5,16,stagewise_v41,0.5993690851735016,0.2684370891518317,0.2732979664014147,0.5622027769177774,0.08333333333333333,0.48580441640378547,0.27679040969335184,0.2569518975627486,0.5201373256798648,0.06896551724137931
