fold,best_epoch,model_kind,tabular_teacher_macro_f1,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,6,stagewise_v4,0.32349121466768527,0.6909871244635193,0.2517304189435337,0.23918732782369148,0.688224913985741,0.0,0.7854077253218884,0.21894353369763206,0.21197339246119734,0.7106953551002541,0.0
2,4,stagewise_v4,0.3401084413242374,0.5699745547073791,0.3140518038852914,0.276372403242763,0.625627217366507,0.0,0.6259541984732825,0.26732133115111834,0.2589118817989515,0.636700353738603,0.08695652173913043
3,1,stagewise_v4,0.28943241943241943,0.7772727272727272,0.2773109243697479,0.2375837066457304,0.7820092114046763,0.0,0.7727272727272727,0.2334267040149393,0.23314285714285715,0.778077922077922,0.0
4,7,stagewise_v4,0.2302182049470868,0.728021978021978,0.24013209013209016,0.24129178641657845,0.6994804696135811,0.0,0.7554945054945055,0.26169386169386166,0.2650128599178735,0.718300890139883,0.0
5,5,stagewise_v4,0.3000236824909644,0.5394321766561514,0.26377740468322497,0.25524557866023645,0.5534728057337114,0.0,0.6088328075709779,0.25800332231816087,0.2563590834230258,0.5866399769781929,0.0
