fold,best_epoch,model_kind,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,2,residual,0.6995708154506438,0.4043776563448695,0.35224044612104316,0.7472457079785245,0.08333333333333333,0.7510729613733905,0.29927140255009105,0.2784449933877286,0.7456371377801594,0.0
2,16,residual,0.7302798982188295,0.3626378709172418,0.3429967284163623,0.7207673140627803,0.11764705882352941,0.7150127226463104,0.3867193244621552,0.3406157559959569,0.7123601820634907,0.09523809523809523
3,4,residual,0.7545454545454545,0.4545907251789604,0.2871261171364229,0.7888258697293393,0.0,0.8409090909090909,0.358948023653906,0.3143260884193526,0.823018761737556,0.0
4,6,residual,0.7637362637362637,0.37927405927405927,0.3688416938591154,0.7604626352759751,0.07407407407407407,0.6620879120879121,0.34048285048285043,0.3154441311380022,0.6955965808189958,0.0851063829787234
5,10,residual,0.6624605678233438,0.3622259531677504,0.3659282512935927,0.6568185797966113,0.08,0.6340694006309149,0.37545970578829546,0.36079493813557256,0.6452429782430674,0.1
