fold,best_epoch,model_kind,tabular_anchor_macro_f1,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,val_zero_history_macro_f1,val_zero_history_accuracy,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,7,residual_v3,0.32349121466768527,0.7854077253218884,0.31618093503339406,0.33475748194014454,0.7667641079472224,0.0,0.19956365473606855,0.6695278969957081,0.7854077253218884,0.3288099574984821,0.33994963880288964,0.7705711742117224,0.0
2,14,residual_v3,0.3401084413242374,0.7684478371501272,0.36305510092744137,0.37209215904868076,0.7419690363600089,0.0,0.19903832185711381,0.6157760814249363,0.7659033078880407,0.35879978177850524,0.36078282017607866,0.7376737168160103,0.0
3,5,residual_v3,0.28943241943241943,0.8318181818181818,0.3068160597572362,0.3004906204906205,0.8276033057851241,0.0,0.21190811064228784,0.8272727272727273,0.8409090909090909,0.3257391845627139,0.319625387735624,0.8344377020021259,0.0
4,13,residual_v3,0.2302182049470868,0.7637362637362637,0.24852369852369854,0.2421063537342607,0.7274337648730697,0.0,0.20856484618511995,0.7637362637362637,0.782967032967033,0.2693861693861694,0.2723510699826489,0.7431181239235028,0.0
5,20,residual_v3,0.3000236824909644,0.6845425867507886,0.31415582915822765,0.33065730565730567,0.6529093788557511,0.07407407407407407,0.2798406183758147,0.5930599369085173,0.694006309148265,0.3432212273034147,0.3507862039816273,0.675593582152411,0.09523809523809523
