fold,best_epoch,model_kind,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,3,stagewise_v41,0.776824034334764,0.2546448087431694,0.24518984851465672,0.7311103493172141,0.0,0.7553648068669528,0.29404978749241045,0.29687830687830685,0.7304448531916343,0.0
2,5,stagewise_v41,0.6819338422391857,0.2865746341232003,0.27582064297800335,0.6743049904633971,0.0,0.648854961832061,0.3386271021608672,0.31873965936739657,0.6687968276963653,0.08333333333333333
3,11,stagewise_v41,0.8545454545454545,0.2631808278867102,0.2597715736040609,0.8226551684356253,0.0,0.8545454545454545,0.2738873327108621,0.267046818727491,0.8251623376623376,0.0
4,2,stagewise_v41,0.7445054945054945,0.2693084693084693,0.2665523782169805,0.7138859578678632,0.0,0.6813186813186813,0.29915750915750916,0.2921295665985932,0.6861169293606325,0.05128205128205128
5,1,stagewise_v41,0.5678233438485805,0.24990583804143127,0.2506454822366105,0.5713136700095564,0.0,0.580441640378549,0.2652489073659524,0.24989169992633395,0.5636549815519273,0.0
