fold,best_epoch,model_kind,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,13,residual,0.7124463519313304,0.3914146933819065,0.3555531201768085,0.7476839567713479,0.0,0.7124463519313304,0.3914146933819065,0.3555531201768085,0.7476839567713479,0.0
2,3,residual,0.5521628498727735,0.43480964918522735,0.3159432838875348,0.6282142759920243,0.0,0.5521628498727735,0.43480964918522735,0.3159432838875348,0.6282142759920243,0.0
3,8,residual,0.6545454545454545,0.39660753190164955,0.3162160302717578,0.724019451480752,0.0,0.6545454545454545,0.39660753190164955,0.3162160302717578,0.724019451480752,0.0
4,18,residual,0.75,0.3528904428904429,0.3385697229787351,0.7396034512102846,0.0,0.75,0.3528904428904429,0.3385697229787351,0.7396034512102846,0.0
5,30,residual,0.6340694006309149,0.37319271221973493,0.3573822179951212,0.6380495025030488,0.08,0.6340694006309149,0.37319271221973493,0.3573822179951212,0.6380495025030488,0.08
