fold,model_type,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1
1,mlp,0.7939914163090128,0.3474195506982392,0.28951195545365216,0.7788050591200661,0.0
2,mlp,0.7582697201017812,0.40490879764700305,0.36915844617969756,0.7463824298959174,0.0
3,mlp,0.8863636363636364,0.3027077497665733,0.30448346263781134,0.8539359293218012,0.0
4,mlp,0.7527472527472527,0.3298146298146298,0.33176302873907426,0.7470330356019168,0.0
5,mlp,0.6056782334384858,0.32461580144263225,0.31181903915965153,0.6253266737613273,0.09302325581395349
