fold,best_epoch,model_kind,accuracy,balanced_accuracy,macro_f1,weighted_f1,min_class_f1,calibrated_accuracy,calibrated_balanced_accuracy,calibrated_macro_f1,calibrated_weighted_f1,calibrated_min_class_f1
1,3,stagewise_v41,0.7811158798283262,0.26205221615057683,0.25188195452346396,0.7364981281573719,0.0,0.7639484978540773,0.30549483910139646,0.32166746594199036,0.7395662172353338,0.0
2,5,stagewise_v41,0.6768447837150128,0.2816504186531939,0.2697566043910169,0.6698186417006452,0.0,0.6437659033078881,0.35116084347351695,0.33252477257834256,0.6703637344373826,0.16666666666666666
3,11,stagewise_v41,0.8545454545454545,0.2631808278867102,0.2597715736040609,0.8226551684356253,0.0,0.8590909090909091,0.27494553376906317,0.2722715736040609,0.8274847138901706,0.0
4,2,stagewise_v41,0.7417582417582418,0.2686091686091686,0.2649619100706057,0.7120908982322026,0.0,0.7142857142857143,0.3075491175491175,0.3051456678855543,0.705388884137201,0.06451612903225806
5,1,stagewise_v41,0.5709779179810726,0.2508492342678464,0.25088349558937795,0.572109550621334,0.0,0.5930599369085173,0.2687289023913584,0.2609735222026102,0.5737145639797003,0.0
